warehouse,total_orders,date,Month,Day,PartOfMonth,DayName,MonthName
EW1,455,2021-08-10,8,3,1st half- aug,Tuesday-Weekday,august
EW1,553,2021-08-11,8,4,1st half- aug,Wednesday-Weekday,august
EW1,569,2021-08-12,8,5,1st half- aug,Thursday-Weekday,august
EW1,426,2021-08-13,8,6,1st half- aug,Friday-Weekday,august
EW1,536,2021-08-14,8,7,1st half- aug,Saturday-Weekend,august
EW1,628,2021-08-15,8,1,1st half- aug,Sunday-Weekend,august
EW1,18,2021-08-16,8,2,2nd-half-aug,Monday-Weekday,august
EW1,852,2021-08-17,8,3,2nd-half-aug,Tuesday-Weekday,august
EW1,4,2021-08-19,8,5,2nd-half-aug,Thursday-Weekday,august
EW1,713,2021-08-20,8,6,2nd-half-aug,Friday-Weekday,august
EW1,675,2021-08-21,8,7,2nd-half-aug,Saturday-Weekend,august
EW1,798,2021-08-22,8,1,2nd-half-aug,Sunday-Weekend,august
EW1,544,2021-08-23,8,2,2nd-half-aug,Monday-Weekday,august
EW1,666,2021-08-24,8,3,2nd-half-aug,Tuesday-Weekday,august
EW1,687,2021-08-25,8,4,2nd-half-aug,Wednesday-Weekday,august
EW1,667,2021-08-26,8,5,2nd-half-aug,Thursday-Weekday,august
EW1,650,2021-08-27,8,6,2nd-half-aug,Friday-Weekday,august
EW1,939,2021-08-28,8,7,2nd-half-aug,Saturday-Weekend,august
EW1,603,2021-08-29,8,1,2nd-half-aug,Sunday-Weekend,august
EW1,720,2021-08-30,8,2,2nd-half-aug,Monday-Weekday,august
EW1,727,2021-08-31,8,3,2nd-half-aug,Tuesday-Weekday,august
EW1,664,2021-09-01,9,4,1st half- sep,Wednesday-Weekday,september
EW1,1148,2021-09-02,9,5,1st half- sep,Thursday-Weekday,september
EW1,984,2021-09-03,9,6,1st half- sep,Friday-Weekday,september
EW1,1346,2021-09-04,9,7,1st half- sep,Saturday-Weekend,september
EW1,1448,2021-09-05,9,1,1st half- sep,Sunday-Weekend,september
EW1,1379,2021-09-06,9,2,1st half- sep,Monday-Weekday,september
EW1,1196,2021-09-07,9,3,1st half- sep,Tuesday-Weekday,september
EW1,515,2021-09-08,9,4,1st half- sep,Wednesday-Weekday,september
EW1,1006,2021-09-09,9,5,1st half- sep,Thursday-Weekday,september
EW1,420,2021-09-10,9,6,1st half- sep,Friday-Weekday,september
EW1,389,2021-09-11,9,7,1st half- sep,Saturday-Weekend,september
EW1,363,2021-09-12,9,1,1st half- sep,Sunday-Weekend,september
EW1,418,2021-09-13,9,2,1st half- sep,Monday-Weekday,september
EW1,365,2021-09-14,9,3,1st half- sep,Tuesday-Weekday,september
EW1,205,2021-09-15,9,4,1st half- sep,Wednesday-Weekday,september
EW2,186,2021-09-15,9,4,1st half- sep,Wednesday-Weekday,september
EW1,238,2021-09-16,9,5,2nd-half-sep,Thursday-Weekday,september
EW2,199,2021-09-16,9,5,2nd-half-sep,Thursday-Weekday,september
EW1,217,2021-09-17,9,6,2nd-half-sep,Friday-Weekday,september
EW2,326,2021-09-17,9,6,2nd-half-sep,Friday-Weekday,september
EW1,161,2021-09-18,9,7,2nd-half-sep,Saturday-Weekend,september
EW2,390,2021-09-18,9,7,2nd-half-sep,Saturday-Weekend,september
EW1,224,2021-09-19,9,1,2nd-half-sep,Sunday-Weekend,september
EW2,353,2021-09-19,9,1,2nd-half-sep,Sunday-Weekend,september
EW1,199,2021-09-20,9,2,2nd-half-sep,Monday-Weekday,september
EW2,359,2021-09-20,9,2,2nd-half-sep,Monday-Weekday,september
EW1,230,2021-09-21,9,3,2nd-half-sep,Tuesday-Weekday,september
EW2,393,2021-09-21,9,3,2nd-half-sep,Tuesday-Weekday,september
EW1,140,2021-09-22,9,4,2nd-half-sep,Wednesday-Weekday,september
EW2,395,2021-09-22,9,4,2nd-half-sep,Wednesday-Weekday,september
EW1,205,2021-09-23,9,5,2nd-half-sep,Thursday-Weekday,september
EW2,295,2021-09-23,9,5,2nd-half-sep,Thursday-Weekday,september
EW1,159,2021-09-24,9,6,2nd-half-sep,Friday-Weekday,september
EW2,212,2021-09-24,9,6,2nd-half-sep,Friday-Weekday,september
EW1,151,2021-09-25,9,7,2nd-half-sep,Saturday-Weekend,september
EW2,324,2021-09-25,9,7,2nd-half-sep,Saturday-Weekend,september
EW1,212,2021-09-26,9,1,2nd-half-sep,Sunday-Weekend,september
EW2,540,2021-09-26,9,1,2nd-half-sep,Sunday-Weekend,september
EW1,184,2021-09-27,9,2,2nd-half-sep,Monday-Weekday,september
EW2,698,2021-09-27,9,2,2nd-half-sep,Monday-Weekday,september
EW1,17,2021-09-28,9,3,2nd-half-sep,Tuesday-Weekday,september
EW2,23,2021-09-28,9,3,2nd-half-sep,Tuesday-Weekday,september
EW1,293,2021-09-29,9,4,2nd-half-sep,Wednesday-Weekday,september
EW2,744,2021-09-29,9,4,2nd-half-sep,Wednesday-Weekday,september
EW1,540,2021-09-30,9,5,2nd-half-sep,Thursday-Weekday,september
EW2,672,2021-09-30,9,5,2nd-half-sep,Thursday-Weekday,september
EW1,257,2021-10-01,10,6,1st half- oct,Friday-Weekday,october
EW2,358,2021-10-01,10,6,1st half- oct,Friday-Weekday,october
EW1,309,2021-10-02,10,7,1st half- oct,Saturday-Weekend,october
EW2,613,2021-10-02,10,7,1st half- oct,Saturday-Weekend,october
EW1,236,2021-10-03,10,1,1st half- oct,Sunday-Weekend,october
EW2,688,2021-10-03,10,1,1st half- oct,Sunday-Weekend,october
EW1,389,2021-10-04,10,2,1st half- oct,Monday-Weekday,october
EW2,757,2021-10-04,10,2,1st half- oct,Monday-Weekday,october
EW1,314,2021-10-05,10,3,1st half- oct,Tuesday-Weekday,october
EW2,767,2021-10-05,10,3,1st half- oct,Tuesday-Weekday,october
EW1,369,2021-10-06,10,4,1st half- oct,Wednesday-Weekday,october
EW2,946,2021-10-06,10,4,1st half- oct,Wednesday-Weekday,october
EW1,419,2021-10-07,10,5,1st half- oct,Thursday-Weekday,october
EW2,1139,2021-10-07,10,5,1st half- oct,Thursday-Weekday,october
EW1,390,2021-10-08,10,6,1st half- oct,Friday-Weekday,october
EW2,855,2021-10-08,10,6,1st half- oct,Friday-Weekday,october
EW1,426,2021-10-09,10,7,1st half- oct,Saturday-Weekend,october
EW2,897,2021-10-09,10,7,1st half- oct,Saturday-Weekend,october
EW1,470,2021-10-10,10,1,1st half- oct,Sunday-Weekend,october
EW2,878,2021-10-10,10,1,1st half- oct,Sunday-Weekend,october
EW1,489,2021-10-11,10,2,1st half- oct,Monday-Weekday,october
EW2,1157,2021-10-11,10,2,1st half- oct,Monday-Weekday,october
EW1,472,2021-10-12,10,3,1st half- oct,Tuesday-Weekday,october
EW2,1231,2021-10-12,10,3,1st half- oct,Tuesday-Weekday,october
EW1,409,2021-10-13,10,4,1st half- oct,Wednesday-Weekday,october
EW2,1052,2021-10-13,10,4,1st half- oct,Wednesday-Weekday,october
EW1,383,2021-10-14,10,5,1st half- oct,Thursday-Weekday,october
EW2,1241,2021-10-14,10,5,1st half- oct,Thursday-Weekday,october
EW1,369,2021-10-15,10,6,1st half- oct,Friday-Weekday,october
EW2,987,2021-10-15,10,6,1st half- oct,Friday-Weekday,october
EW1,579,2021-10-16,10,7,2nd-half-oct,Saturday-Weekend,october
EW2,1364,2021-10-16,10,7,2nd-half-oct,Saturday-Weekend,october
EW1,537,2021-10-17,10,1,2nd-half-oct,Sunday-Weekend,october
EW2,1195,2021-10-17,10,1,2nd-half-oct,Sunday-Weekend,october
EW1,445,2021-10-18,10,2,2nd-half-oct,Monday-Weekday,october
EW2,1422,2021-10-18,10,2,2nd-half-oct,Monday-Weekday,october
EW1,288,2021-10-19,10,3,2nd-half-oct,Tuesday-Weekday,october
EW2,539,2021-10-19,10,3,2nd-half-oct,Tuesday-Weekday,october
EW1,379,2021-10-20,10,4,2nd-half-oct,Wednesday-Weekday,october
EW2,1211,2021-10-20,10,4,2nd-half-oct,Wednesday-Weekday,october
EW1,382,2021-10-21,10,5,2nd-half-oct,Thursday-Weekday,october
EW2,1197,2021-10-21,10,5,2nd-half-oct,Thursday-Weekday,october
EW1,543,2021-10-22,10,6,2nd-half-oct,Friday-Weekday,october
EW2,1531,2021-10-22,10,6,2nd-half-oct,Friday-Weekday,october
EW1,499,2021-10-23,10,7,2nd-half-oct,Saturday-Weekend,october
EW2,1446,2021-10-23,10,7,2nd-half-oct,Saturday-Weekend,october
EW1,507,2021-10-24,10,1,2nd-half-oct,Sunday-Weekend,october
EW2,1119,2021-10-24,10,1,2nd-half-oct,Sunday-Weekend,october
EW1,433,2021-10-25,10,2,2nd-half-oct,Monday-Weekday,october
EW2,1333,2021-10-25,10,2,2nd-half-oct,Monday-Weekday,october
EW1,565,2021-10-26,10,3,2nd-half-oct,Tuesday-Weekday,october
EW2,1502,2021-10-26,10,3,2nd-half-oct,Tuesday-Weekday,october
EW1,506,2021-10-27,10,4,2nd-half-oct,Wednesday-Weekday,october
EW2,1513,2021-10-27,10,4,2nd-half-oct,Wednesday-Weekday,october
EW1,382,2021-10-28,10,5,2nd-half-oct,Thursday-Weekday,october
EW2,1572,2021-10-28,10,5,2nd-half-oct,Thursday-Weekday,october
EW1,461,2021-10-29,10,6,2nd-half-oct,Friday-Weekday,october
EW2,1010,2021-10-29,10,6,2nd-half-oct,Friday-Weekday,october
EW1,437,2021-10-30,10,7,2nd-half-oct,Saturday-Weekend,october
EW2,1451,2021-10-30,10,7,2nd-half-oct,Saturday-Weekend,october
EW1,494,2021-10-31,10,1,2nd-half-oct,Sunday-Weekend,october
EW2,1543,2021-10-31,10,1,2nd-half-oct,Sunday-Weekend,october
EW1,441,2021-11-01,11,2,1st half- nov,Monday-Weekday,november
EW2,1423,2021-11-01,11,2,1st half- nov,Monday-Weekday,november
EW1,398,2021-11-02,11,3,1st half- nov,Tuesday-Weekday,november
EW2,1728,2021-11-02,11,3,1st half- nov,Tuesday-Weekday,november
EW1,391,2021-11-03,11,4,1st half- nov,Wednesday-Weekday,november
EW2,1414,2021-11-03,11,4,1st half- nov,Wednesday-Weekday,november
EW1,386,2021-11-04,11,5,1st half- nov,Thursday-Weekday,november
EW2,1490,2021-11-04,11,5,1st half- nov,Thursday-Weekday,november
EW1,375,2021-11-05,11,6,1st half- nov,Friday-Weekday,november
EW2,1067,2021-11-05,11,6,1st half- nov,Friday-Weekday,november
EW1,441,2021-11-06,11,7,1st half- nov,Saturday-Weekend,november
EW2,1591,2021-11-06,11,7,1st half- nov,Saturday-Weekend,november
EW1,421,2021-11-07,11,1,1st half- nov,Sunday-Weekend,november
EW2,1696,2021-11-07,11,1,1st half- nov,Sunday-Weekend,november
EW1,526,2021-11-08,11,2,1st half- nov,Monday-Weekday,november
EW2,1537,2021-11-08,11,2,1st half- nov,Monday-Weekday,november
